@RELATION "friedman2_90000_train_norm.arff.gz"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE class NUMERIC

@DATA
0.805627136259,0.748252741169,0.0294257611062,0.174656383354,-33.2002262743
0.116395189855,0.21581511168,0.487417585411,0.186104900549,169.433061281
0.369956642708,0.804732636597,0.766786143637,0.440198104854,1090.06349275
0.503912867281,0.496624395939,0.800965472962,0.043494873546,859.840042481
0.503191260021,0.083360554565,0.823323407252,0.795616845329,257.964544385
0.770110455313,0.307906413489,0.369317518547,0.245642639046,189.0394287
0.112663476745,0.902489651404,0.442197238716,0.39935790613,743.364657738
0.422177904095,0.156227528544,0.247212566092,0.798732832161,315.004733333
0.119000886425,0.491109987789,0.249129775954,0.618956884748,263.07551399
0.114015949808,0.369427164854,0.773512732811,0.043724668245,557.925245006
0.727792706547,0.64962974628,0.891707671522,0.744895832519,1031.11764181
0.698527169774,0.345216239988,0.0724688230975,0.502822367036,-23.1117365094
0.252080549079,0.647214464739,0.635820246785,0.62403351587,765.30299957
0.727406221624,0.675310942168,0.948949457528,0.516208631151,1280.07959476
0.919731215722,0.364538195031,0.135404733513,0.412416047786,220.838453502
0.272803584734,0.23259720825,0.323133230415,0.58084307415,160.036897715
0.43730742609,0.751191529949,0.865147198151,0.734947649073,1367.80269554
0.0539777132291,0.257575308715,0.842988034018,0.846736417052,534.516425279
0.0482657474665,0.389832224637,0.132424961276,0.838421197385,-128.972117592
0.521071997193,0.540084746268,0.778531878526,0.168441409013,790.637293277
0.842684499282,0.464809661004,0.162886248204,0.724603139781,54.2568599075
0.700264851419,0.783300492173,0.369316057582,0.95799931276,520.644029794
0.643278339002,0.589859735631,0.687891765124,0.48671088125,1073.55984575
0.935326042157,0.218600846014,0.346648058396,0.286960237018,-90.5890941629
0.935661094037,0.756912603003,0.750752876498,0.879056834392,1291.76915524
0.713836488481,0.416108946284,0.0351134544664,0.767974058084,187.321101822
0.574249243779,0.215918754741,0.138791733557,0.93579860943,81.9629852361
0.178919400117,0.210963646623,0.22234257194,0.751401946629,-12.2702044447
0.444416526411,0.165675199002,0.479166306639,0.82232997835,163.624034756
0.015711325795,0.555367947169,0.247043351248,0.698697161717,363.53353357
